Brand,Model,Version,Price,Modèle,Main,Kilométrage,Carburant,Transmision,Puissance fiscale,Couleur extérieure,Etat du véhicule,Climatisation,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Caméra de recul,Bluetooth,Jantes aluminium,Volant cuir,Feux de jour,Barres de toit,Toit,Airbags,ABS,ESP,Antipatinage,Architecture,Cylindrée,Conso. ville,Conso. route,Vitesse maxi.,Volume du réservoir
MERCEDES,CLA Coupé 2018,220 d Style,300.000 DH VENDUE,2018.0,Première,72.000 km,Diesel,Manuelle,9 cv,Blanc,Excellent,auto.,Electrique AV,Conducteur,oui,oui,oui,oui,non,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2007,200 d,131.000 DH VENDUE,2007.0,Seconde,260.000 km,Diesel,Automatique,9 cv,Noir,Excellent,manuelle,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe B 2006,Autre version,85.000 DH VENDUE,2006.0,Seconde,121.500 km,Essence,Manuelle,9 cv,Noir,Très bon,manuelle,Electrique AV/AR,non,non,non,non,non,non,oui,non,oui,non,non,non,non,oui,oui,non,oui,non,Rigide,oui,non,oui,non,,,,,,
MERCEDES,Classe C Coupé 2018,220 d DCT AMG line +,520.000 DH VENDUE,2018.0,Seconde,51.200 km,Diesel,Automatique,9 cv,Blanc,Comme neuve,auto. Bi-zone,Electrique AV,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 2016,220 d Avantgarde,390.000 DH VENDUE,2016.0,Première,26.000 km,Diesel,Automatique,8 cv,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 1996,200 d,73.000 DH VENDUE,1996.0,Première,229.000 km,Diesel,Manuelle,9 cv,Autre couleur,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,190 1993,2.0 D,45.000 DH VENDUE,1993.0,Seconde,440.000 km,Diesel,Automatique,-,Autre couleur,Très bon,non,Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,non,non,Ouvrant,oui,oui,non,non,,,,,,
MERCEDES,190 1991,2.5 D,65.000 DH VENDUE,1991.0,Seconde,350.000 km,Diesel,Manuelle,8 cv,Beige,Très bon,non,Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Rigide,non,non,non,non,,,,,,
MERCEDES,Classe C 2013,220 d,207.000 DH VENDUE,2013.0,Seconde,209.000 km,Diesel,Automatique,9 cv,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe E 2013,250 CDI BlueEfficiency,250.000 DH VENDUE,2013.0,Première,216.000 km,Diesel,Automatique,8 cv,Bleu foncé,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,,,,,
MERCEDES,Classe C 2018,200 d,115.000 DH VENDUE,2018.0,Seconde,235.000 km,Diesel,Automatique,8 cv,Gris,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,non,oui,oui,non,non,oui,non,oui,oui,oui,non,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,non,,,,,,
MERCEDES,Classe M 2007,320 CDI,120.000 DH VENDUE,2007.0,Seconde,245.000 km,Diesel,Automatique,12 cv,Noir,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,Rigide,oui,oui,oui,oui,,,,,,
